Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome
Barton Joe,2011, Texas, R, H,266002,321, N00005656,,,0.54,52169.0,
Barton Joe,2010, Texas, R, H,81002,380, N00005656,,,0.54,52169.0,
Barton Joe,2009, Texas, R, H,81002,371, N00005656,,,0.54,52169.0,
Barton Joe,2008, Texas, R, H,81002,374, N00005656,,,0.54,52169.0,
Barton Joe,2007, Texas, R, H,81002,383, N00005656,,,0.54,52169.0,
Barton Joe,2006, Texas, R, H,113503,361, N00005656,,,0.54,52169.0,
Barton Joe,2005, Texas, R, H,52003,390, N00005656,,,0.54,52169.0,
Bass Karen,2013, California, D, H,348003,304, N00031877,,,-0.502,56883.0,
Bass Karen,2012, California, D, H,348003,307, N00031877,,,-0.579,56883.0,
Bass Karen,2011, California, D, H,348003,305, N00031877,,,-0.579,56883.0,
Bass Karen,2010, California, D, H,458003,279, N00031877,,,0.0,56883.0,
Bass Karen,2009, California, D, H,0,-1, N00031877,,,0.0,56883.0,
Beatty Joyce,2013, Ohio, D, H,3884013,94, N00033904,,,-0.416,45887.0,
Beatty Joyce,2012, Ohio, D, H,2641517,125, N00033904,,,0.0,45887.0,
Beatty Joyce,2011, Ohio, D, H,2508515,127, N00033904,,,0.0,45887.0,
Becerra Xavier,2013, California, D, H,1702530,158, N00009774,,,-0.43,56883.0,
Becerra Xavier,2012, California, D, H,1753030,160, N00009774,,,-0.544,56883.0,
Becerra Xavier,2011, California, D, H,1666028,162, N00009774,,,-0.544,56883.0,
Becerra Xavier,2010, California, D, H,1588529,152, N00009774,,,-0.544,56883.0,
Becerra Xavier,2009, California, D, H,762527,214, N00009774,,,-0.544,56883.0,
Becerra Xavier,2008, California, D, H,770029,201, N00009774,,,-0.544,56883.0,
Becerra Xavier,2007, California, D, H,877028,192, N00009774,,,-0.544,56883.0,
Becerra Xavier,2006, California, D, H,838023,196, N00009774,,,-0.544,56883.0,
Becerra Xavier,2005, California, D, H,815020,191, N00009774,,,-0.544,56883.0,
Begich Mark,2013, Alaska, D, S,2222527,-1, N00029901,72237.0,,-0.291,61731.0,
Begich Mark,2012, Alaska, D, S,1415024,58, N00029901,72237.0,,-0.291,61731.0,
Begich Mark,2011, Alaska, D, S,1376522,59, N00029901,72237.0,,-0.291,61731.0,
Begich Mark,2010, Alaska, D, S,2272024,55, N00029901,72237.0,,-0.291,61731.0,
Begich Mark,2009, Alaska, D, S,2377027,53, N00029901,72237.0,,-0.291,61731.0,
Begich Mark,2008, Alaska, D, S,1723022,55, N00029901,72237.0,,0.0,61731.0,
Begich Mark,2007, Alaska, D, S,8202526,-1, N00029901,72237.0,,0.0,61731.0,
Benishek Dan,2013, Michigan, R, H,2698040,124, N00031934,41971.0,,0.89,50056.0,
Benishek Dan,2012, Michigan, R, H,2249029,142, N00031934,41971.0,,0.631,50056.0,
Benishek Dan,2011, Michigan, R, H,1863527,152, N00031934,41971.0,,0.631,50056.0,
Benishek Dan,2010, Michigan, R, H,5645540,55, N00031934,41971.0,,0.0,50056.0,
Benishek Dan,2009, Michigan, R, H,3523003,84, N00031934,41971.0,,0.0,50056.0,
Bennet Michael F,2013, Colorado, D, S,12110516,18, N00030608,60727.0,,-0.276,60727.0,
Bennet Michael F,2012, Colorado, D, S,9784516,17, N00030608,60727.0,,-0.276,60727.0,
Bennet Michael F,2011, Colorado, D, S,12108015,18, N00030608,60727.0,,-0.276,60727.0,
Bennet Michael F,2010, Colorado, D, S,12225514,20, N00030608,60727.0,,-0.276,60727.0,
Bennet Michael F,2009, Colorado, D, S,16998510,17, N00030608,60727.0,,-0.276,60727.0,
Bennet Michael F,2008, Colorado, D, S,16688509,16, N00030608,60727.0,,0.0,60727.0,
Bentivolio Kerry,2013, Michigan, R, H,664022,-1, N00033625,73294.0,,0.96,50056.0,
Bentivolio Kerry,2012, Michigan, R, H,654016,246, N00033625,73294.0,,0.0,50056.0,
Bentivolio Kerry,2011, Michigan, R, H,355520,303, N00033625,73294.0,,0.0,50056.0,
Bera Ami,2013, California, D, H,5103033,73, N00030717,,,-0.19,56883.0,
Bera Ami,2012, California, D, H,5128536,73, N00030717,,,0.0,56883.0,
Bera Ami,2011, California, D, H,3616543,89, N00030717,,,0.0,56883.0,
Bilirakis Gus,2013, Florida, R, H,483021,271, N00027462,,,0.623,47114.0,
Bilirakis Gus,2012, Florida, R, H,445518,283, N00027462,,,0.373,47114.0,
Bilirakis Gus,2011, Florida, R, H,605518,250, N00027462,,,0.373,47114.0,
Bilirakis Gus,2010, Florida, R, H,454016,281, N00027462,,,0.373,47114.0,
Bilirakis Gus,2009, Florida, R, H,284510,305, N00027462,,,0.373,47114.0,
Bilirakis Gus,2008, Florida, R, H,269008,300, N00027462,,,0.373,47114.0,
Bilirakis Gus,2007, Florida, R, H,384509,282, N00027462,,,0.373,47114.0,
Bilirakis Gus,2006, Florida, R, H,446510,-1, N00027462,,,0.377,47114.0,
Bishop Rob,2013, Utah, R, H,40501,386, N00025292,,,0.83,59877.0,
Bishop Rob,2012, Utah, R, H,40501,393, N00025292,,,0.543,59877.0,
Bishop Rob,2011, Utah, R, H,40501,384, N00025292,,,0.543,59877.0,
Bishop Rob,2010, Utah, R, H,40501,393, N00025292,,,0.543,59877.0,
Bishop Rob,2009, Utah, R, H,8501,406, N00025292,,,0.543,59877.0,
Bishop Rob,2008, Utah, R, H,3501,413, N00025292,,,0.543,59877.0,
Bishop Rob,2007, Utah, R, H,16001,410, N00025292,,,0.543,59877.0,
Bishop Rob,2006, Utah, R, H,16001,402, N00025292,,,0.543,59877.0,
Bishop Rob,2005, Utah, R, H,-61500,428, N00025292,,,0.543,59877.0,
Bishop Sanford,2013, Georgia, D, H,48503,382, N00002674,,,-0.236,47958.0,
Bishop Sanford,2012, Georgia, D, H,56503,390, N00002674,,,-0.277,47958.0,
Bishop Sanford,2011, Georgia, D, H,40504,383, N00002674,,,-0.277,47958.0,
Bishop Sanford,2010, Georgia, D, H,-159496,443, N00002674,,,-0.277,47958.0,
Bishop Sanford,2009, Georgia, D, H,-9496,418, N00002674,,,-0.277,47958.0,
Bishop Sanford,2008, Georgia, D, H,335005,289, N00002674,,,-0.277,47958.0,
Bishop Sanford,2007, Georgia, D, H,335005,298, N00002674,,,-0.277,47958.0,
Bishop Sanford,2006, Georgia, D, H,668006,228, N00002674,,,-0.277,47958.0,
Bishop Sanford,2005, Georgia, D, H,183505,335, N00002674,,,-0.277,47958.0,
Bishop Timothy H,2013, New York, D, H,1442004,-1, N00025413,,,-0.301,51554.0,
Bishop Timothy H,2012, New York, D, H,1342004,183, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2011, New York, D, H,992005,200, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2010, New York, D, H,1283003,167, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2009, New York, D, H,908003,190, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2008, New York, D, H,908003,185, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2007, New York, D, H,708003,222, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2006, New York, D, H,1283003,163, N00025413,,,-0.36,51554.0,
Bishop Timothy H,2005, New York, D, H,823003,190, N00025413,,,-0.36,51554.0,
Black Diane,2013, Tennessee, R, H,41915544,18, N00031539,,,0.733,43303.0,
Black Diane,2012, Tennessee, R, H,69569042,8, N00031539,,,0.595,43303.0,
Black Diane,2011, Tennessee, R, H,64744035,8, N00031539,,,0.595,43303.0,
Black Diane,2010, Tennessee, R, H,31272522,15, N00031539,,,0.0,43303.0,
Black Diane,2009, Tennessee, R, H,49409520,8, N00031539,,,0.0,43303.0,
Blackburn Marsha,2013, Tennessee, R, H,640012,246, N00003105,,,0.795,43303.0,
Blackburn Marsha,2012, Tennessee, R, H,551512,258, N00003105,,,0.632,43303.0,
Blackburn Marsha,2011, Tennessee, R, H,424511,281, N00003105,,,0.632,43303.0,
Blackburn Marsha,2010, Tennessee, R, H,456513,280, N00003105,,,0.632,43303.0,
Blackburn Marsha,2009, Tennessee, R, H,268515,307, N00003105,,,0.632,43303.0,
Blackburn Marsha,2008, Tennessee, R, H,374515,272, N00003105,,,0.632,43303.0,
Blackburn Marsha,2007, Tennessee, R, H,387018,281, N00003105,,,0.632,43303.0,
Blackburn Marsha,2006, Tennessee, R, H,298015,309, N00003105,,,0.632,43303.0,
Blackburn Marsha,2005, Tennessee, R, H,251004,314, N00003105,,,0.632,43303.0,
Blumenauer Earl,2013, Oregon, D, H,6828015,59, N00007727,,,-0.508,54067.0,
Blumenauer Earl,2012, Oregon, D, H,6809015,55, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2011, Oregon, D, H,6751015,56, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2010, Oregon, D, H,4924520,66, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2009, Oregon, D, H,4302517,68, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2008, Oregon, D, H,3615019,79, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2007, Oregon, D, H,3739518,81, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2006, Oregon, D, H,4077519,82, N00007727,,,-0.487,54067.0,
Blumenauer Earl,2005, Oregon, D, H,3569017,88, N00007727,,,-0.487,54067.0,
Blumenthal Richard,2013, Connecticut, D, S,99581170,2, N00031685,66905.0,,-0.474,66905.0,
Blumenthal Richard,2012, Connecticut, D, S,110426705,2, N00031685,66905.0,,-0.474,66905.0,
